[2026-07-22 21:24:42.590] [warning] [Gimbal] Invalid mode: 90
[2026-07-22 21:24:42.888] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:43.711] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:44.550] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:45.396] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:46.238] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:47.082] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:47.924] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:48.755] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:49.601] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:50.448] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:51.292] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:52.118] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:52.852] [warning] [Gimbal] Invalid mode: 90
[2026-07-22 21:24:52.956] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:53.795] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:54.637] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:55.480] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:56.319] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:57.167] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:58.015] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:58.860] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:24:59.696] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:00.537] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:01.375] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:02.227] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:03.058] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:03.898] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:04.736] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:05.594] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:06.435] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:07.274] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:08.092] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:08.942] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:09.775] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:10.619] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:11.471] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:12.316] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:13.152] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:25:13.980] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
