[2026-07-22 21:57:13.994] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:14.994] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:15.995] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:16.995] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:17.995] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:18.996] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:19.993] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:20.994] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:21.994] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:22.994] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:23.995] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:24.995] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:25.996] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:26.995] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:27.996] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:28.994] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:29.994] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:30.994] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:31.995] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:32.995] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:33.996] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:34.996] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:35.996] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:36.994] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:37.995] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:38.995] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:39.995] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:40.996] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:41.996] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:42.996] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:43.997] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:44.995] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:45.995] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:46.995] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:47.996] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:48.996] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:49.996] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:50.997] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:51.997] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:52.995] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:53.995] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:54.995] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:55.996] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:56.996] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:57.996] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:58.997] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:57:59.997] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:00.997] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:01.998] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:02.995] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:03.996] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:04.996] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:05.997] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:06.997] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:07.998] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:08.998] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:09.998] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:10.996] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:11.996] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:12.996] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:13.997] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:14.997] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:15.998] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:16.998] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:17.998] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:18.996] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:19.996] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:20.997] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:21.997] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:22.998] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:23.998] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:24.998] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:25.999] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:26.996] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:27.997] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:28.997] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:29.998] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:30.998] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:31.998] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:32.999] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:33.999] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:34.997] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:35.997] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:36.997] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:37.998] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:38.998] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:39.999] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:40.999] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:41.999] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:43.000] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:43.997] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:44.998] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:45.998] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:46.998] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:47.999] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:48.999] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:49.999] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:51.000] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:52.000] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:52.998] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:53.998] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:54.999] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:55.999] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:56.999] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:58.000] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:58:59.000] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:00.000] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:01.000] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:01.998] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:02.998] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:03.999] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:04.999] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:06.000] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:07.000] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:08.001] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:09.001] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:09.998] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:10.999] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:11.999] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:12.999] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:14.000] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:15.000] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
[2026-07-22 21:59:16.001] [info] [Gimbal] Diag: latency=0.00ms, serial_ok=yes
