[2026-07-02 11:07:05.039] [info] [84] yolo: 10.0ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:05.083] [info] [85] yolo: 10.0ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:05.123] [info] [86] yolo: 5.8ms, tracker: 0.0ms, aimer: 0.1ms
[2026-07-02 11:07:05.165] [info] [87] yolo: 8.5ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:05.209] [info] [88] yolo: 9.3ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:05.251] [info] [89] yolo: 7.5ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:05.295] [info] [90] yolo: 9.6ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:05.337] [info] [91] yolo: 7.5ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:05.384] [info] [92] yolo: 10.7ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:05.427] [info] [93] yolo: 5.9ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:05.744] [info] [94] yolo: 10.6ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:05.784] [info] [95] yolo: 8.0ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:05.831] [debug] [Target] r=0.325, l=-0.275
[2026-07-02 11:07:05.831] [debug] [Tracker] Target diverged!
[2026-07-02 11:07:05.831] [info] [96] yolo: 9.5ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:05.873] [info] [97] yolo: 6.9ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:05.919] [info] [98] yolo: 9.5ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:05.961] [info] [99] yolo: 8.0ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:06.004] [info] [100] yolo: 9.0ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:06.045] [info] [101] yolo: 8.0ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:06.089] [info] [102] yolo: 9.6ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:06.134] [info] [103] yolo: 9.1ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:06.177] [info] [104] yolo: 7.4ms, tracker: 0.4ms, aimer: 0.0ms
[2026-07-02 11:07:06.223] [info] [105] yolo: 10.2ms, tracker: 0.0ms, aimer: 0.0ms
[2026-07-02 11:07:06.264] [info] [106] yolo: 6.0ms, tracker: 0.6ms, aimer: 0.0ms
[2026-07-02 11:07:06.306] [info] [107] yolo: 8.1ms, tracker: 0.5ms, aimer: 0.0ms
[2026-07-02 11:07:06.347] [info] [108] yolo: 7.9ms, tracker: 0.0ms, aimer: 0.0ms
